order_id,customer_id,product_id,amount,order_date,channel,status
O0000000,C001032,P00034,643.71,2025-05-25T00:08:00,web,delivered
O0000001,C000886,P00149,135.74,2025-05-09T17:21:00,mobile_app,delivered
O0000002,C000262,P00026,1456.5,2025-01-31T22:26:00,store,delivered
O0000003,C000787,P00107,161.61,2025-09-15T23:38:00,store,delivered
O0000004,C000702,P00075,115.77,2025-04-08T04:33:00,marketplace,delivered
O0000005,C001049,P00076,357.81,2025-12-19T18:41:00,mobile_app,delivered
O0000006,C001278,P00182,280.78,2024-10-24T23:26:00,mobile_app,cancelled
O0000007,C001331,P00045,329.12,2025-05-30T18:31:00,web,delivered
O0000008,C001151,P00122,439.32,2025-08-19T19:28:00,store,shipped
O0000009,C000865,P00003,89.2,2025-06-19T03:38:00,marketplace,delivered
O0000010,C001372,P00014,103.84,2024-07-23T09:06:00,store,delivered
O0000011,C000299,P00015,89.56,2025-12-08T10:04:00,web,delivered
O0000012,C000926,P00026,1456.5,2025-09-22T23:03:00,mobile_app,delivered
O0000013,C001149,P00099,133.98,2024-08-31T17:26:00,web,returned
O0000014,C000793,P00106,1480.98,2025-12-02T10:40:00,web,delivered
O0000015,C000514,P00051,409.61,2025-09-27T15:07:00,store,delivered
O0000016,C001119,P00189,61.44,2025-09-09T06:42:00,store,delivered
O0000017,C001398,P00019,968.16,2024-07-10T05:55:00,web,delivered
O0000018,C000877,P00071,429.27,2025-07-23T09:01:00,mobile_app,delivered
O0000019,C000522,P00001,150.98,2024-12-04T15:55:00,web,delivered
O0000020,C000660,P00152,1111.74,2024-02-22T21:20:00,store,delivered
O0000021,C001172,P00140,416.59,2025-01-01T02:29:00,mobile_app,returned
O0000022,C001066,P00017,787.02,2025-06-01T05:26:00,marketplace,delivered
O0000023,C000453,P00054,153.74,2025-11-10T11:19:00,store,delivered
O0000024,C001266,P00135,213.33,2025-05-01T19:09:00,web,delivered
O0000025,C000912,P00061,273.0,2025-10-19T20:56:00,mobile_app,returned
O0000026,C001397,P00082,305.5,2025-01-25T03:52:00,store,delivered
O0000027,C000579,P00006,1061.19,2025-06-13T12:47:00,marketplace,delivered
O0000028,C000607,P00166,669.42,2024-07-16T10:56:00,web,returned
O0000029,C000342,P00197,463.68,2025-07-04T18:12:00,web,delivered
O0000030,C001289,P00198,774.42,2024-08-06T23:23:00,web,delivered
O0000031,C001439,P00189,61.44,2025-03-21T22:04:00,mobile_app,delivered
O0000032,C001468,P00084,431.44,2024-02-08T02:59:00,web,delivered
O0000033,C000515,P00142,24.51,2024-03-13T19:37:00,store,delivered
O0000034,C000923,P00161,56.34,2025-02-18T14:46:00,web,delivered
O0000035,C000242,P00136,939.84,2024-01-07T21:53:00,web,delivered
O0000036,C001199,P00011,52.48,2025-12-18T02:28:00,web,delivered
O0000037,C001404,P00077,448.26,2025-09-13T02:57:00,marketplace,delivered
O0000038,C001353,P00007,916.86,2025-04-30T05:20:00,mobile_app,delivered
O0000039,C000800,P00139,103.33,2024-10-29T21:38:00,store,delivered
O0000040,C001493,P00165,1381.8,2025-01-17T00:22:00,mobile_app,delivered
O0000041,C000010,P00146,236.49,2025-09-02T13:27:00,web,delivered
O0000042,C001486,P00088,988.26,2024-08-04T14:05:00,mobile_app,delivered
O0000043,C000452,P00157,203.38,2024-09-15T06:37:00,mobile_app,delivered
O0000044,C001161,P00013,649.98,2025-07-16T15:44:00,web,delivered
O0000045,C000137,P00064,561.99,2024-04-10T06:44:00,marketplace,returned
O0000046,C000731,P00032,474.79,2025-11-18T22:22:00,web,delivered
O0000047,C000142,P00049,58.8,2024-11-21T16:35:00,store,delivered
O0000048,C000626,P00177,613.86,2025-08-21T05:12:00,store,shipped
O0000049,C000877,P00043,393.94,2024-01-05T10:41:00,mobile_app,delivered
O0000050,C001312,P00111,247.34,2024-10-10T12:16:00,store,shipped
O0000051,C000947,P00114,14.62,2025-01-02T10:25:00,web,delivered
O0000052,C001242,P00020,565.98,2024-10-14T04:46:00,mobile_app,delivered
O0000053,C001283,P00019,968.16,2024-03-18T00:38:00,web,shipped
O0000054,C001185,P00103,434.41,2025-08-27T07:15:00,store,delivered
O0000055,C001105,P00120,87.67,2025-10-31T05:04:00,marketplace,delivered
O0000056,C001207,P00187,845.88,2024-10-24T04:34:00,web,delivered
O0000057,C001028,P00002,1428.21,2025-11-09T08:09:00,mobile_app,delivered
O0000058,C000287,P00114,21.93,2024-06-12T06:06:00,mobile_app,delivered
O0000059,C000990,P00091,349.74,2024-02-11T07:28:00,mobile_app,delivered
O0000060,C000756,P00059,37.48,2024-02-13T22:49:00,store,delivered
O0000061,C000931,P00011,52.48,2024-02-10T22:08:00,web,delivered
O0000062,C001067,P00162,1206.36,2024-10-07T08:59:00,mobile_app,delivered
O0000063,C000775,P00093,423.48,2025-08-24T22:18:00,store,delivered
O0000064,C000456,P00132,193.23,2025-02-19T12:02:00,marketplace,delivered
O0000065,C001237,P00001,301.96,2025-05-28T04:44:00,mobile_app,delivered
O0000066,C001053,P00164,431.98,2024-10-14T07:13:00,mobile_app,delivered
O0000067,C001232,P00183,396.93,2024-05-01T22:33:00,marketplace,shipped
O0000068,C001475,P00029,481.5,2025-05-08T23:02:00,marketplace,delivered
O0000069,C000330,P00165,460.6,2025-02-24T00:45:00,web,delivered
O0000070,C001213,P00041,856.38,2024-05-17T21:29:00,web,shipped
O0000071,C000300,P00014,103.84,2024-06-19T08:48:00,marketplace,delivered
O0000072,C001154,P00163,307.6,2024-01-20T22:35:00,web,delivered
O0000073,C001242,P00120,87.67,2025-05-08T05:49:00,marketplace,delivered
O0000074,C001193,P00196,175.02,2024-07-05T21:16:00,store,delivered
O0000075,C001404,P00087,995.88,2025-04-09T20:21:00,web,delivered
