session_id,customer_id,started_at,duration_s,device,referrer,pages_viewed
S00000000,C000583,2025-01-30T09:28:00,2967,tablet,email,25
S00000001,C000531,2025-04-19T18:56:00,3359,mobile_android,email,11
S00000002,C000677,2024-02-18T18:56:00,1086,mobile_android,organic,5
S00000003,C001328,2024-11-09T08:27:00,3268,mobile_ios,social,30
S00000004,C000031,2025-08-17T19:45:00,713,tablet,organic,1
S00000005,C000295,2025-06-17T11:45:00,2589,mobile_android,organic,17
S00000006,C000488,2025-06-25T23:04:00,3530,mobile_ios,social,22
S00000007,C000288,2024-01-12T08:24:00,775,tablet,social,37
S00000008,C000241,2025-07-03T04:10:00,3542,desktop,social,12
S00000009,C001085,2024-07-29T20:38:00,3174,desktop,social,13
S00000010,C000030,2025-03-19T16:41:00,913,desktop,direct,15
S00000011,C000108,2024-08-20T19:11:00,2174,mobile_android,organic,7
S00000012,C000882,2025-10-14T16:12:00,1915,tablet,direct,10
S00000013,C001425,2025-12-06T02:13:00,2397,desktop,organic,22
S00000014,C000026,2025-05-16T03:27:00,2385,tablet,organic,39
S00000015,C000724,2025-05-11T10:00:00,3125,mobile_android,social,18
S00000016,C000050,2025-03-22T20:10:00,491,mobile_android,paid_search,33
S00000017,C000931,2025-03-20T16:04:00,863,mobile_android,paid_search,8
S00000018,C001416,2025-10-10T10:50:00,3066,mobile_android,email,32
S00000019,C000869,2025-09-14T10:44:00,2470,tablet,direct,11
S00000020,C001153,2025-01-21T06:08:00,3033,tablet,paid_search,11
S00000021,C001466,2025-05-02T07:27:00,700,mobile_android,paid_search,32
S00000022,C000087,2024-07-14T23:05:00,3544,desktop,direct,3
S00000023,C000668,2025-02-22T13:50:00,3147,mobile_android,organic,17
S00000024,C000128,2025-12-02T07:58:00,1277,mobile_ios,organic,29
S00000025,C000813,2025-06-14T22:15:00,3520,mobile_ios,paid_search,37
S00000026,C001038,2025-03-30T13:07:00,3335,desktop,email,3
S00000027,C000725,2025-10-04T02:57:00,2403,desktop,email,1
S00000028,C000327,2025-11-28T09:08:00,777,mobile_ios,email,16
S00000029,C000904,2024-09-13T22:34:00,895,tablet,paid_search,35
S00000030,C000092,2024-03-09T07:26:00,323,mobile_android,paid_search,19
S00000031,C000153,2024-07-11T11:45:00,3535,tablet,organic,28
S00000032,C001150,2024-05-26T14:07:00,524,desktop,organic,19
S00000033,C000944,2025-01-25T05:49:00,118,tablet,paid_search,17
S00000034,C000944,2025-07-05T16:26:00,3255,mobile_ios,social,20
S00000035,C000247,2024-10-14T11:02:00,1444,tablet,social,29
S00000036,C000397,2024-03-06T22:15:00,415,tablet,direct,35
S00000037,C000669,2025-08-29T06:00:00,1671,tablet,paid_search,31
S00000038,C001304,2024-01-20T00:28:00,2249,mobile_android,paid_search,36
S00000039,C000398,2024-02-16T04:15:00,1236,mobile_android,email,33
S00000040,C000213,2025-02-18T12:44:00,1790,desktop,direct,34
S00000041,C000096,2025-11-25T09:01:00,295,desktop,paid_search,19
S00000042,C000582,2025-02-15T06:18:00,2291,mobile_ios,email,5
S00000043,C000957,2024-07-29T08:57:00,2851,tablet,organic,35
S00000044,C000936,2024-08-10T14:48:00,3433,mobile_ios,organic,17
S00000045,C001155,2024-07-18T23:32:00,398,desktop,paid_search,29
S00000046,C000273,2024-06-04T20:07:00,3038,mobile_ios,direct,1
S00000047,C000625,2024-12-13T00:13:00,2677,mobile_ios,organic,34
S00000048,C000470,2024-10-10T19:22:00,473,desktop,email,19
S00000049,C001003,2025-02-26T08:42:00,2393,mobile_ios,email,13
S00000050,C001148,2025-12-08T13:53:00,2288,desktop,paid_search,15
S00000051,C001491,2025-05-01T22:09:00,553,mobile_ios,email,36
