flow_id,process_id,ip_id,bytes_sent,bytes_received,started_at
F00000000,P00000655,IP000029,3411710,1526763,2025-03-23T17:50:00
F00000001,P00004398,IP000908,2231096,2910564,2025-03-28T19:47:00
F00000002,P00003016,IP001401,3567594,1455355,2025-02-28T13:51:00
F00000003,P00001580,IP000528,3799399,4191899,2025-03-30T14:45:00
F00000004,P00000299,IP001354,1786548,2849312,2025-01-03T23:45:00
F00000005,P00004347,IP002392,3941168,1831498,2025-01-22T23:35:00
F00000006,P00000498,IP001893,1850812,1061758,2025-01-03T04:06:00
F00000007,P00001394,IP001835,190025,2618756,2025-01-23T09:31:00
F00000008,P00001337,IP000171,1278429,2777258,2025-01-31T10:59:00
F00000009,P00002803,IP001681,4372269,1870150,2025-01-23T15:49:00
F00000010,P00004741,IP001876,324514,2459366,2025-03-19T16:40:00
F00000011,P00000854,IP001952,4680215,4508412,2025-02-10T01:37:00
F00000012,P00000566,IP002391,3534400,2394920,2025-03-25T12:12:00
F00000013,P00003274,IP001885,1953323,4426257,2025-03-29T11:37:00
F00000014,P00003202,IP001406,3188688,85285,2025-03-19T17:12:00
F00000015,P00002433,IP001140,4319352,2219326,2025-01-06T19:01:00
F00000016,P00003532,IP000934,1738427,1572192,2025-02-26T10:07:00
F00000017,P00001460,IP000288,1367699,2377592,2025-02-05T17:07:00
F00000018,P00004459,IP001442,4485109,3902821,2025-02-07T19:49:00
F00000019,P00003585,IP000006,1356341,2006215,2025-01-02T22:42:00
F00000020,P00002144,IP002386,4973037,2340883,2025-03-03T17:06:00
F00000021,P00001307,IP000130,4095296,3461039,2025-02-09T15:16:00
F00000022,P00000196,IP002435,2709844,1730876,2025-03-31T18:05:00
F00000023,P00000484,IP000193,1890763,2054761,2025-01-16T12:40:00
F00000024,P00004717,IP000480,2024435,4232574,2025-02-03T06:04:00
F00000025,P00004086,IP001539,1206184,4565998,2025-01-27T09:15:00
F00000026,P00001833,IP001737,4611481,447521,2025-02-06T23:04:00
F00000027,P00002625,IP002245,635051,320432,2025-02-07T22:34:00
F00000028,P00004430,IP000479,3070087,1832636,2025-01-28T13:01:00
F00000029,P00001693,IP000809,2735399,3386546,2025-01-31T10:55:00
F00000030,P00003755,IP000007,4118888,1390062,2025-03-28T00:33:00
F00000031,P00004190,IP000290,2674101,3195885,2025-03-08T18:57:00
F00000032,P00002996,IP001507,3881304,4876915,2025-03-03T08:21:00
F00000033,P00002423,IP002026,2857447,4767695,2025-03-31T20:05:00
F00000034,P00002811,IP001519,3085767,213286,2025-03-15T07:16:00
F00000035,P00002806,IP000983,3244129,1124168,2025-01-06T01:07:00
F00000036,P00004613,IP000339,3717143,962513,2025-02-05T02:11:00
F00000037,P00002460,IP001172,623393,4690560,2025-02-03T02:43:00
F00000038,P00001837,IP000657,2625217,1098816,2025-01-21T13:28:00
F00000039,P00003006,IP000252,3801202,4442616,2025-02-17T02:57:00
F00000040,P00004101,IP000304,3308175,2628509,2025-01-22T21:32:00
F00000041,P00000788,IP002499,1551738,776273,2025-01-06T08:05:00
F00000042,P00002452,IP001532,4122444,2478027,2025-02-19T13:00:00
F00000043,P00002423,IP000245,1715613,338629,2025-03-31T20:05:00
F00000044,P00001110,IP001579,2198525,3885913,2025-02-14T11:18:00
F00000045,P00001658,IP000002,2518202,475559,2025-01-14T09:33:00
F00000046,P00001544,IP001484,2029875,1445445,2025-03-23T23:26:00
F00000047,P00000750,IP001165,2396948,80652,2025-01-02T18:22:00
F00000048,P00001416,IP001787,1959236,2429082,2025-03-26T11:22:00
F00000049,P00000180,IP000369,1476689,742850,2025-01-06T12:28:00
F00000050,P00004519,IP001481,1382221,2966124,2025-03-09T06:34:00
F00000051,P00003917,IP002387,4766329,512864,2025-01-18T21:30:00
F00000052,P00000220,IP001959,2121380,742796,2025-02-24T14:08:00
F00000053,P00001116,IP000969,1290762,2725669,2025-01-09T10:03:00
F00000054,P00002477,IP000353,4644736,4985778,2025-03-31T21:57:00
F00000055,P00000712,IP000466,1710890,2538495,2025-02-23T22:20:00
F00000056,P00001910,IP002057,3077758,3967804,2025-01-26T19:27:00
F00000057,P00000562,IP002460,3627342,1475625,2025-01-09T20:14:00
F00000058,P00003782,IP001703,731418,1557320,2025-02-19T10:08:00
F00000059,P00004043,IP000526,972928,977313,2025-02-25T07:26:00
F00000060,P00001234,IP000002,724104,1709799,2025-01-06T18:53:00
F00000061,P00004116,IP000916,330856,774055,2025-01-05T10:54:00
F00000062,P00002375,IP001250,4701740,288378,2025-03-08T04:43:00
F00000063,P00001333,IP002467,425696,4664616,2025-01-30T02:00:00
F00000064,P00004464,IP000287,4851998,3186444,2025-02-10T01:00:00
F00000065,P00003376,IP001476,1323646,1579269,2025-01-12T22:06:00
F00000066,P00000958,IP000441,4829508,4950091,2025-01-09T09:33:00
F00000067,P00000295,IP000287,1820041,1612298,2025-02-01T08:27:00
F00000068,P00002629,IP002300,1735642,789433,2025-03-11T05:53:00
F00000069,P00003623,IP000956,3615873,3344538,2025-02-25T16:49:00
F00000070,P00004006,IP001230,580595,4062273,2025-02-10T06:54:00
F00000071,P00000696,IP000003,4595811,4724400,2025-01-02T17:05:00
F00000072,P00000755,IP002073,4019328,2437476,2025-02-18T02:00:00
F00000073,P00000292,IP000123,939709,2006432,2025-03-17T01:32:00
F00000074,P00001687,IP000093,2088956,2285379,2025-01-04T16:52:00
F00000075,P00002158,IP001760,233401,4136425,2025-02-19T19:08:00
F00000076,P00000627,IP002126,3982549,3278672,2025-03-09T02:23:00
F00000077,P00002825,IP002031,3806662,2908834,2025-02-05T01:42:00
F00000078,P00001257,IP001881,1275332,1896675,2025-02-22T14:22:00
F00000079,P00000616,IP000855,987167,3308312,2025-01-18T19:42:00
F00000080,P00000213,IP002037,4226483,644555,2025-03-09T07:34:00
F00000081,P00000760,IP000224,2646311,3686793,2025-03-31T06:39:00
F00000082,P00000253,IP002348,3180316,1726223,2025-01-16T08:38:00
F00000083,P00000495,IP001890,190568,114688,2025-02-09T19:09:00
F00000084,P00002829,IP001150,3377264,3329522,2025-03-05T21:28:00
F00000085,P00003253,IP001005,1148672,2078917,2025-02-15T19:49:00
F00000086,P00001787,IP000242,245667,4136925,2025-01-25T22:30:00
F00000087,P00000885,IP001303,4386592,74743,2025-03-23T20:37:00
F00000088,P00000216,IP000269,2301464,407382,2025-03-27T12:19:00
F00000089,P00004582,IP001022,1531871,1813703,2025-02-02T23:51:00
F00000090,P00002443,IP000125,3407691,2832437,2025-01-26T18:24:00
F00000091,P00004378,IP001200,2393452,4544268,2025-01-21T09:38:00
F00000092,P00004310,IP000700,2041900,3926941,2025-01-27T04:53:00
F00000093,P00002744,IP000021,4846748,4134704,2025-03-25T07:43:00
F00000094,P00001527,IP001331,4544502,1185988,2025-03-25T08:21:00
F00000095,P00003062,IP001383,2301459,2987001,2025-03-14T01:51:00
F00000096,P00002591,IP000461,1774866,959116,2025-01-26T13:40:00
F00000097,P00004719,IP000098,1801695,2607361,2025-01-16T10:15:00
F00000098,P00004254,IP000963,3593454,4157533,2025-01-29T21:40:00
F00000099,P00004445,IP000844,4595378,4102421,2025-03-05T06:55:00
F00000100,P00001601,IP002304,1614942,1219517,2025-01-06T04:48:00
F00000101,P00001970,IP000133,2165143,1974622,2025-03-04T05:56:00
F00000102,P00003368,IP001491,4352760,2610606,2025-03-25T15:24:00
F00000103,P00003385,IP001120,4339160,3613268,2025-01-05T04:29:00
F00000104,P00003928,IP001088,824369,3295904,2025-03-18T02:38:00
F00000105,P00001891,IP000361,1092843,323789,2025-01-14T17:50:00
F00000106,P00003279,IP001873,2792768,2895871,2025-02-17T16:44:00
F00000107,P00001381,IP001969,3352452,313096,2025-01-25T22:21:00
F00000108,P00000998,IP002102,2532665,40923,2025-03-11T03:24:00
F00000109,P00004201,IP001103,2122896,666716,2025-02-02T11:45:00
F00000110,P00003029,IP002228,945794,2614003,2025-01-07T00:02:00
F00000111,P00001754,IP000280,609845,3473546,2025-01-17T22:37:00
F00000112,P00004415,IP000417,2574659,3244026,2025-03-06T17:04:00
F00000113,P00000254,IP001536,638672,749384,2025-01-02T03:17:00
F00000114,P00004230,IP001637,185748,2792191,2025-02-07T04:00:00
F00000115,P00002799,IP001104,3180049,2941396,2025-02-27T08:12:00
F00000116,P00002115,IP001631,4200879,2070360,2025-01-02T05:07:00
F00000117,P00003111,IP001046,1941809,4192957,2025-03-20T01:42:00
F00000118,P00003703,IP001093,229094,1664402,2025-02-11T00:44:00
F00000119,P00002376,IP001116,2640469,2355667,2025-01-01T11:45:00
F00000120,P00002768,IP001450,3441670,3556761,2025-02-17T19:10:00
F00000121,P00000234,IP000000,723439,777820,2025-01-08T04:59:00
F00000122,P00004923,IP000563,1276707,4165368,2025-02-10T05:10:00
F00000123,P00001227,IP002140,3157596,4924553,2025-03-01T00:35:00
F00000124,P00003863,IP000514,830407,3733168,2025-02-12T07:41:00
F00000125,P00001701,IP002172,1944157,4488634,2025-01-09T23:16:00
F00000126,P00003011,IP000226,4873256,2725053,2025-01-18T00:37:00
F00000127,P00003694,IP000003,2169674,246493,2025-03-24T15:01:00
F00000128,P00004952,IP001664,3025930,278115,2025-03-14T14:07:00
F00000129,P00004453,IP000774,3455023,2177928,2025-03-25T13:32:00
F00000130,P00000157,IP002161,2112966,4714234,2025-01-19T07:22:00
F00000131,P00002228,IP001940,3887328,284657,2025-01-03T02:08:00
F00000132,P00000127,IP000707,4085435,4785030,2025-01-30T02:27:00
F00000133,P00002709,IP002360,2813468,1041204,2025-02-13T07:46:00
F00000134,P00002497,IP002432,2981370,2139855,2025-03-04T04:55:00
F00000135,P00002335,IP001585,3588263,4832554,2025-01-10T10:37:00
F00000136,P00002697,IP000346,3992866,2967352,2025-01-23T05:11:00
F00000137,P00003564,IP001404,1414014,4198476,2025-02-20T09:10:00
F00000138,P00000063,IP000459,3480547,560732,2025-02-28T17:23:00
F00000139,P00003660,IP001253,3866853,4865106,2025-02-28T06:05:00
F00000140,P00002331,IP001306,4908033,1544612,2025-01-02T08:20:00
F00000141,P00001918,IP000481,3433515,1785651,2025-01-01T10:21:00
F00000142,P00004512,IP000664,3544776,2336273,2025-02-03T23:20:00
F00000143,P00004213,IP000373,387474,444834,2025-02-18T00:16:00
F00000144,P00000741,IP001905,4665687,867780,2025-01-18T18:14:00
F00000145,P00001027,IP001162,2834078,3762116,2025-01-16T06:34:00
F00000146,P00003318,IP000980,343611,2269887,2025-03-08T02:48:00
F00000147,P00004638,IP001154,753882,2419503,2025-01-05T01:32:00
F00000148,P00001423,IP001004,2628879,2941148,2025-03-01T08:17:00
F00000149,P00001226,IP002219,1694505,1789080,2025-03-14T22:33:00
F00000150,P00003959,IP002190,3958412,3013252,2025-01-10T14:09:00
F00000151,P00003320,IP002350,4654022,1046076,2025-03-21T23:46:00
F00000152,P00001704,IP000567,3477611,2732329,2025-02-09T18:22:00
F00000153,P00003099,IP001869,3962449,804164,2025-03-01T03:28:00
F00000154,P00000678,IP002295,1089699,543220,2025-02-05T10:50:00
F00000155,P00004298,IP001919,314797,4376741,2025-01-10T21:19:00
F00000156,P00004870,IP000008,4090695,4839097,2025-02-22T12:08:00
F00000157,P00000989,IP001706,1000491,638156,2025-01-28T11:52:00
F00000158,P00002463,IP001055,2135624,3203041,2025-02-13T18:04:00
F00000159,P00000669,IP002386,4234946,2022703,2025-03-22T23:46:00
F00000160,P00000494,IP001873,3047149,2545429,2025-01-12T05:39:00
F00000161,P00001412,IP001236,4106058,1785878,2025-02-08T01:22:00
F00000162,P00004228,IP001378,1549646,2023190,2025-02-10T06:37:00
F00000163,P00004071,IP001977,2452824,4694059,2025-01-18T23:12:00
F00000164,P00004059,IP000231,3932275,4700347,2025-01-13T13:48:00
F00000165,P00004591,IP000602,2857533,2032208,2025-02-27T23:21:00
F00000166,P00001413,IP000388,1315600,726065,2025-02-24T09:11:00
F00000167,P00004545,IP002255,1370968,1392548,2025-03-17T00:49:00
F00000168,P00003327,IP002398,506759,3431839,2025-01-30T20:12:00
F00000169,P00003324,IP000079,1244954,4539497,2025-02-03T04:52:00
F00000170,P00003525,IP000832,4608042,1803679,2025-01-20T10:05:00
F00000171,P00004678,IP001478,3853574,530033,2025-02-10T13:05:00
F00000172,P00003357,IP002169,1120758,909534,2025-01-14T18:12:00
F00000173,P00000009,IP000773,3962729,80814,2025-02-13T12:48:00
F00000174,P00004863,IP000086,3749922,391335,2025-03-03T11:00:00
F00000175,P00002014,IP000248,4426982,4296003,2025-01-16T09:56:00
F00000176,P00003415,IP001780,4865797,1885791,2025-02-27T02:48:00
F00000177,P00001345,IP000000,4786930,4318935,2025-03-29T06:58:00
F00000178,P00001921,IP001111,4981788,1296528,2025-03-25T00:45:00
F00000179,P00003565,IP001247,4536832,3693216,2025-03-11T00:51:00
F00000180,P00003353,IP000720,3438100,2916054,2025-03-02T05:09:00
F00000181,P00000485,IP001173,2256779,2854823,2025-03-04T00:57:00
F00000182,P00003235,IP000545,3582591,3950184,2025-02-06T23:22:00
F00000183,P00003237,IP001131,753463,4276838,2025-03-10T07:41:00
F00000184,P00001312,IP001829,4915613,2277120,2025-01-26T05:21:00
F00000185,P00004082,IP001433,29360,338612,2025-02-15T19:53:00
F00000186,P00001587,IP000542,1251354,511854,2025-02-14T02:21:00
