process_id,asset_id,command,started_at,parent_pid,pid
P00000000,AST001413,/bin/bash,2025-02-06T08:41:00,40341,39458
P00000001,AST001037,/usr/bin/python,2025-03-12T11:03:00,14921,89993
P00000002,AST000682,/usr/bin/git,2025-02-13T13:31:00,80740,3916
P00000003,AST000359,java,2025-01-25T11:16:00,88143,62897
P00000004,AST000971,powershell.exe,2025-01-05T22:02:00,63111,20466
P00000005,AST001284,java,2025-02-28T18:19:00,60617,54357
P00000006,AST000114,/usr/bin/git,2025-03-08T10:13:00,95023,88992
P00000007,AST000646,/usr/bin/python,2025-03-13T18:17:00,27298,75780
P00000008,AST001403,/bin/bash,2025-02-12T12:04:00,19570,36860
P00000009,AST000063,kubectl,2025-02-13T12:48:00,21754,74939
P00000010,AST001240,/usr/bin/git,2025-02-19T06:23:00,15316,98605
P00000011,AST000631,/usr/bin/python,2025-04-01T10:44:00,35586,54346
P00000012,AST000177,java,2025-03-05T08:06:00,59233,39766
P00000013,AST000442,powershell.exe,2025-03-09T10:19:00,14711,49149
P00000014,AST000076,ssh,2025-01-26T03:09:00,66322,3368
P00000015,AST000988,chrome.exe,2025-03-06T05:15:00,44580,63469
P00000016,AST001072,powershell.exe,2025-02-09T11:10:00,12879,67752
P00000017,AST001385,/usr/bin/python,2025-01-17T07:00:00,60211,50901
P00000018,AST001461,/usr/bin/python,2025-03-08T03:57:00,40761,5871
P00000019,AST001407,java,2025-03-18T02:58:00,61195,6147
P00000020,AST000211,node,2025-03-08T22:29:00,2947,75801
P00000021,AST000639,java,2025-03-23T07:09:00,26288,25337
P00000022,AST000586,java,2025-02-05T18:10:00,57818,88065
P00000023,AST000240,powershell.exe,2025-02-04T05:05:00,35867,15102
P00000024,AST000031,kubectl,2025-03-21T19:06:00,13419,27176
P00000025,AST001111,java,2025-02-14T18:45:00,35528,18654
P00000026,AST001442,chrome.exe,2025-02-06T19:35:00,22450,9437
P00000027,AST000637,kubectl,2025-03-20T11:33:00,58150,6748
P00000028,AST000266,/usr/bin/python,2025-01-04T16:04:00,13885,50379
P00000029,AST000110,curl,2025-01-12T14:33:00,23460,92463
P00000030,AST001220,ssh,2025-03-17T21:29:00,80782,46712
P00000031,AST000639,kubectl,2025-02-12T06:45:00,10296,99156
P00000032,AST000953,/bin/bash,2025-03-14T04:29:00,91567,61477
