build_id,started_at,duration_s,status
B000000,2026-06-03T07:03:11,210,success
B000001,2026-05-21T13:21:34,1733,failed
B000002,2026-05-20T20:08:40,680,failed
B000003,2026-05-24T16:35:58,739,failed
B000004,2026-05-28T13:36:27,1785,cancelled
B000005,2026-05-13T01:16:47,599,success
B000006,2026-05-28T08:40:30,1423,failed
B000007,2026-05-29T08:16:12,676,failed
B000008,2026-05-19T21:43:39,828,failed
B000009,2026-05-28T06:30:54,967,success
B000010,2026-05-21T07:22:15,716,failed
B000011,2026-06-05T11:51:56,1613,success
B000012,2026-05-25T02:40:10,200,success
B000013,2026-06-02T22:06:19,317,success
B000014,2026-05-30T22:18:15,1042,success
B000015,2026-05-19T03:10:48,244,cancelled
B000016,2026-05-21T02:32:43,1440,cancelled
B000017,2026-05-29T18:33:01,66,cancelled
B000018,2026-05-17T14:52:59,721,cancelled
B000019,2026-05-18T05:01:31,1108,cancelled
B000020,2026-06-05T01:22:44,422,failed
B000021,2026-06-04T15:55:50,1196,failed
B000022,2026-05-18T02:48:21,1034,cancelled
B000023,2026-06-09T18:06:30,1237,success
B000024,2026-05-29T00:56:45,1676,failed
B000025,2026-05-13T13:01:51,403,failed
B000026,2026-06-02T07:16:48,1507,failed
B000027,2026-05-16T17:09:49,311,failed
B000028,2026-05-21T22:57:26,972,failed
B000029,2026-05-26T05:03:23,190,failed
B000030,2026-06-02T15:58:27,87,cancelled
B000031,2026-06-08T18:57:51,1488,success
B000032,2026-05-29T08:01:57,414,failed
B000033,2026-05-30T14:40:17,1719,cancelled
B000034,2026-06-08T22:00:24,1664,cancelled
B000035,2026-06-09T10:51:20,1081,cancelled
B000036,2026-05-25T04:10:47,558,cancelled
B000037,2026-05-22T16:59:54,126,cancelled
B000038,2026-05-26T13:10:58,885,success
B000039,2026-05-29T19:31:33,1062,failed
B000040,2026-06-09T02:52:41,1406,cancelled
B000041,2026-05-28T02:59:05,1445,cancelled
B000042,2026-05-15T16:36:34,1087,cancelled
B000043,2026-05-21T21:15:09,421,success
B000044,2026-06-08T03:59:29,1707,failed
B000045,2026-05-25T05:30:47,448,failed
B000046,2026-06-02T09:01:01,327,success
B000047,2026-05-26T08:41:09,1243,cancelled
B000048,2026-06-08T14:51:58,1392,failed
B000049,2026-05-25T14:11:25,1136,failed
B000050,2026-05-21T22:31:22,474,success
B000051,2026-05-23T22:57:59,1722,success
B000052,2026-06-09T10:56:28,1445,cancelled
B000053,2026-05-29T12:51:24,36,success
B000054,2026-06-01T16:00:43,1488,success
B000055,2026-06-02T01:56:04,478,cancelled
B000056,2026-06-07T00:36:06,1144,cancelled
B000057,2026-06-02T16:55:36,1722,success
B000058,2026-05-21T19:05:47,49,cancelled
B000059,2026-06-01T22:11:48,58,failed
B000060,2026-05-14T00:37:36,45,success
B000061,2026-05-28T10:24:17,536,failed
B000062,2026-05-19T15:59:50,1695,failed
B000063,2026-06-04T00:38:46,735,cancelled
B000064,2026-05-20T07:53:27,663,cancelled
B000065,2026-05-21T13:42:45,1374,cancelled
B000066,2026-05-13T12:15:41,1384,success
B000067,2026-05-13T06:18:10,247,failed
B000068,2026-05-31T13:06:34,116,failed
B000069,2026-05-17T11:49:32,916,failed
B000070,2026-06-02T23:06:24,1536,success
B000071,2026-06-01T03:06:02,333,failed
B000072,2026-05-17T16:23:03,951,cancelled
B000073,2026-06-02T03:13:07,1030,success
B000074,2026-05-15T00:40:22,1407,cancelled
B000075,2026-05-13T20:18:01,1702,cancelled
B000076,2026-05-22T16:54:26,125,cancelled
B000077,2026-05-26T13:31:32,695,cancelled
B000078,2026-05-30T04:09:57,145,success
B000079,2026-06-08T12:58:19,1427,failed
B000080,2026-05-24T05:06:48,1536,cancelled
B000081,2026-06-03T08:33:51,1184,success
B000082,2026-05-14T00:43:11,585,failed
B000083,2026-05-18T23:01:36,425,failed
B000084,2026-05-31T19:03:44,1268,success
B000085,2026-06-03T07:43:56,1622,cancelled
B000086,2026-05-21T15:05:20,1592,cancelled
B000087,2026-05-31T05:15:28,258,cancelled
B000088,2026-05-26T23:30:18,1596,success
B000089,2026-05-13T10:23:58,1603,cancelled
B000090,2026-06-02T14:16:35,890,failed
B000091,2026-05-20T20:28:36,1116,cancelled
B000092,2026-05-22T12:55:07,414,failed
B000093,2026-05-16T12:48:05,302,failed
B000094,2026-05-23T00:51:53,1231,failed
B000095,2026-05-12T02:41:13,192,failed
B000096,2026-06-02T20:24:05,1464,success
B000097,2026-05-23T05:41:32,826,failed
B000098,2026-06-09T03:38:46,1405,failed
B000099,2026-05-11T03:32:45,166,failed
B000100,2026-05-11T01:44:38,1482,failed
B000101,2026-05-31T10:53:39,681,success
B000102,2026-06-04T06:49:00,1254,failed
B000103,2026-05-22T21:10:48,1496,cancelled
B000104,2026-05-18T15:41:40,1198,cancelled
B000105,2026-05-31T22:33:13,642,cancelled
B000106,2026-05-17T18:59:59,1645,success
B000107,2026-05-12T21:09:19,1440,failed
B000108,2026-05-19T08:17:02,1305,success
B000109,2026-05-16T00:36:08,762,failed
B000110,2026-05-18T21:40:42,1478,cancelled
B000111,2026-05-21T11:51:45,1325,cancelled
B000112,2026-05-11T20:31:37,976,cancelled
B000113,2026-06-08T00:53:23,1144,cancelled
B000114,2026-05-11T08:49:52,210,cancelled
B000115,2026-06-05T10:36:05,1333,failed
B000116,2026-05-31T10:58:50,227,cancelled
B000117,2026-05-16T03:16:16,313,failed
B000118,2026-05-18T10:45:42,701,success
B000119,2026-05-11T13:39:40,1658,failed
B000120,2026-06-04T05:18:52,1570,failed
B000121,2026-06-06T05:14:47,102,failed
B000122,2026-05-27T10:48:49,108,cancelled
B000123,2026-06-07T00:12:42,1677,failed
B000124,2026-05-21T00:30:19,721,failed
B000125,2026-05-13T18:03:55,113,failed
B000126,2026-05-29T08:34:10,910,success
B000127,2026-05-26T18:00:19,573,failed
B000128,2026-05-29T21:09:49,1755,cancelled
B000129,2026-05-22T06:17:29,194,cancelled
B000130,2026-05-21T22:35:04,1551,cancelled
B000131,2026-05-28T12:45:13,1507,cancelled
B000132,2026-05-20T12:27:05,1121,cancelled
B000133,2026-05-29T06:35:06,1711,failed
B000134,2026-06-05T09:30:11,935,cancelled
B000135,2026-05-28T12:25:38,1241,cancelled
B000136,2026-05-20T10:12:04,783,success
B000137,2026-05-12T19:25:35,237,success
B000138,2026-05-17T08:33:24,1205,success
B000139,2026-05-23T08:42:26,1211,success
B000140,2026-05-14T11:42:47,1106,failed
B000141,2026-06-05T22:01:22,157,failed
