chunk_id,concept_id,score
CHK00000_000,CON0061,0.542
CHK00000_000,CON0013,0.743
CHK00000_001,CON0006,0.9
CHK00000_001,CON0077,0.942
CHK00000_001,CON0063,0.865
CHK00000_002,CON0017,0.585
CHK00000_002,CON0012,0.664
CHK00000_002,CON0005,0.748
CHK00000_003,CON0022,0.479
CHK00000_003,CON0025,0.724
CHK00000_004,CON0043,0.978
CHK00000_004,CON0014,0.484
CHK00000_004,CON0059,0.98
CHK00000_005,CON0047,0.751
CHK00000_005,CON0033,0.893
CHK00000_006,CON0079,0.931
CHK00000_007,CON0052,0.427
CHK00000_007,CON0014,0.422
CHK00000_007,CON0017,0.998
CHK00000_008,CON0017,0.623
CHK00000_008,CON0049,0.97
CHK00000_008,CON0058,0.818
CHK00000_009,CON0004,0.53
CHK00000_009,CON0047,0.667
CHK00001_000,CON0011,0.785
CHK00001_000,CON0027,0.758
CHK00001_001,CON0072,0.523
CHK00001_002,CON0076,0.402
CHK00001_003,CON0014,0.797
CHK00001_004,CON0075,0.594
CHK00001_005,CON0060,0.669
CHK00001_006,CON0078,0.426
CHK00001_007,CON0013,0.827
CHK00001_007,CON0062,0.666
CHK00001_008,CON0070,0.997
CHK00001_008,CON0041,0.718
CHK00001_008,CON0048,0.672
CHK00001_009,CON0043,0.639
CHK00001_009,CON0058,0.838
CHK00001_010,CON0010,0.456
CHK00001_011,CON0042,0.612
CHK00001_011,CON0015,0.799
CHK00001_011,CON0052,0.85
CHK00001_012,CON0045,0.747
CHK00001_012,CON0013,0.528
CHK00001_013,CON0028,0.985
CHK00001_013,CON0054,0.891
CHK00001_013,CON0071,0.768
CHK00001_014,CON0034,0.822
CHK00001_015,CON0051,0.845
CHK00001_015,CON0008,0.983
CHK00001_015,CON0018,0.455
CHK00002_000,CON0076,0.493
CHK00002_000,CON0010,0.853
CHK00002_000,CON0006,0.43
CHK00002_001,CON0027,0.468
CHK00002_001,CON0065,0.658
CHK00002_002,CON0038,0.967
CHK00002_003,CON0063,0.848
CHK00002_004,CON0071,0.638
CHK00002_004,CON0045,0.845
CHK00002_004,CON0009,0.662
CHK00002_005,CON0073,0.826
CHK00002_005,CON0051,0.651
CHK00002_006,CON0055,0.907
CHK00002_007,CON0042,0.867
CHK00002_008,CON0044,0.611
CHK00002_009,CON0022,0.761
CHK00002_010,CON0063,0.856
CHK00002_010,CON0059,0.669
CHK00002_010,CON0072,0.954
CHK00002_011,CON0038,0.434
CHK00002_011,CON0035,0.704
CHK00002_011,CON0075,0.586
CHK00002_012,CON0009,0.769
CHK00002_012,CON0011,0.704
CHK00002_013,CON0024,0.685
CHK00002_013,CON0041,0.491
CHK00002_013,CON0077,0.437
CHK00002_014,CON0056,0.714
CHK00002_014,CON0067,0.495
CHK00002_015,CON0042,0.735
CHK00002_015,CON0008,0.632
CHK00002_015,CON0012,0.551
CHK00002_016,CON0044,0.586
CHK00002_017,CON0067,0.456
CHK00003_000,CON0024,1.0
CHK00003_000,CON0028,0.493
CHK00003_001,CON0067,0.926
CHK00003_001,CON0004,0.771
CHK00003_001,CON0043,0.758
CHK00003_002,CON0052,0.619
CHK00003_003,CON0029,0.544
CHK00003_003,CON0068,0.979
CHK00003_004,CON0064,0.651
CHK00003_004,CON0067,0.497
CHK00003_005,CON0070,0.827
CHK00003_005,CON0013,0.71
CHK00003_006,CON0055,0.455
CHK00003_007,CON0010,0.535
CHK00003_007,CON0047,0.591
CHK00003_008,CON0017,0.669
CHK00003_008,CON0060,0.403
CHK00003_009,CON0070,0.964
CHK00003_010,CON0079,0.467
CHK00003_010,CON0058,0.943
CHK00003_010,CON0008,0.758
CHK00003_011,CON0045,0.65
CHK00003_011,CON0030,0.799
CHK00003_011,CON0073,0.451
CHK00003_012,CON0064,0.634
CHK00003_012,CON0070,0.682
CHK00003_012,CON0002,0.781
CHK00003_013,CON0013,0.48
CHK00003_013,CON0074,0.611
CHK00003_013,CON0042,0.603
CHK00003_014,CON0008,0.83
CHK00003_015,CON0025,0.931
CHK00004_000,CON0042,0.88
CHK00004_000,CON0034,0.662
CHK00004_000,CON0015,0.64
CHK00004_001,CON0010,0.447
CHK00004_001,CON0054,0.761
CHK00004_002,CON0041,0.797
CHK00004_003,CON0078,0.565
CHK00004_003,CON0055,0.988
CHK00004_004,CON0020,0.909
CHK00004_004,CON0003,0.807
CHK00004_004,CON0018,0.663
CHK00004_005,CON0046,0.419
CHK00004_005,CON0049,0.492
CHK00004_005,CON0072,0.67
CHK00004_006,CON0040,0.55
CHK00004_006,CON0035,0.468
CHK00004_007,CON0015,0.529
CHK00004_007,CON0033,0.767
CHK00004_007,CON0057,0.816
CHK00004_008,CON0022,0.998
CHK00004_008,CON0056,0.886
CHK00004_009,CON0020,0.876
CHK00004_009,CON0022,0.705
