mention_id,chunk_id,entity_id,char_offset
M00000000,CHK00000_000,ENT00353,233
M00000001,CHK00000_000,ENT00306,432
M00000002,CHK00000_000,ENT00434,154
M00000003,CHK00000_000,ENT00256,101
M00000004,CHK00000_001,ENT00302,140
M00000005,CHK00000_001,ENT00022,4
M00000006,CHK00000_001,ENT00405,289
M00000007,CHK00000_002,ENT00224,347
M00000008,CHK00000_002,ENT00194,386
M00000009,CHK00000_002,ENT00256,369
M00000010,CHK00000_003,ENT00092,167
M00000011,CHK00000_003,ENT00302,382
M00000012,CHK00000_004,ENT00168,495
M00000013,CHK00000_004,ENT00263,412
M00000014,CHK00000_004,ENT00493,151
M00000015,CHK00000_005,ENT00570,7
M00000016,CHK00000_005,ENT00374,135
M00000017,CHK00000_005,ENT00092,274
M00000018,CHK00000_005,ENT00404,63
M00000019,CHK00000_006,ENT00239,241
M00000020,CHK00000_007,ENT00226,465
M00000021,CHK00000_007,ENT00064,358
M00000022,CHK00000_007,ENT00475,154
M00000023,CHK00000_008,ENT00240,454
M00000024,CHK00000_009,ENT00158,315
M00000025,CHK00000_009,ENT00424,208
M00000026,CHK00000_009,ENT00101,480
M00000027,CHK00000_009,ENT00501,487
M00000028,CHK00001_000,ENT00062,97
M00000029,CHK00001_000,ENT00407,495
M00000030,CHK00001_000,ENT00282,62
M00000031,CHK00001_001,ENT00341,124
M00000032,CHK00001_002,ENT00221,168
M00000033,CHK00001_002,ENT00238,396
M00000034,CHK00001_003,ENT00133,128
M00000035,CHK00001_003,ENT00553,408
M00000036,CHK00001_004,ENT00015,404
M00000037,CHK00001_004,ENT00366,403
M00000038,CHK00001_005,ENT00053,269
M00000039,CHK00001_005,ENT00129,58
M00000040,CHK00001_005,ENT00431,381
M00000041,CHK00001_006,ENT00462,257
M00000042,CHK00001_007,ENT00469,245
M00000043,CHK00001_007,ENT00031,433
M00000044,CHK00001_007,ENT00062,205
M00000045,CHK00001_008,ENT00151,140
M00000046,CHK00001_008,ENT00067,319
M00000047,CHK00001_008,ENT00129,324
M00000048,CHK00001_009,ENT00101,220
M00000049,CHK00001_009,ENT00117,231
M00000050,CHK00001_009,ENT00564,454
M00000051,CHK00001_009,ENT00220,116
M00000052,CHK00001_010,ENT00320,351
M00000053,CHK00001_010,ENT00261,472
M00000054,CHK00001_010,ENT00383,242
M00000055,CHK00001_010,ENT00156,34
M00000056,CHK00001_011,ENT00133,300
M00000057,CHK00001_011,ENT00569,489
M00000058,CHK00001_011,ENT00061,287
M00000059,CHK00001_012,ENT00294,307
M00000060,CHK00001_013,ENT00229,188
M00000061,CHK00001_013,ENT00110,58
M00000062,CHK00001_013,ENT00358,390
M00000063,CHK00001_013,ENT00569,142
M00000064,CHK00001_014,ENT00273,14
M00000065,CHK00001_015,ENT00359,445
M00000066,CHK00001_015,ENT00006,73
M00000067,CHK00001_015,ENT00185,289
M00000068,CHK00002_000,ENT00161,369
M00000069,CHK00002_000,ENT00378,166
M00000070,CHK00002_000,ENT00319,397
M00000071,CHK00002_001,ENT00453,310
M00000072,CHK00002_001,ENT00434,226
M00000073,CHK00002_001,ENT00497,212
M00000074,CHK00002_002,ENT00539,202
M00000075,CHK00002_002,ENT00315,306
M00000076,CHK00002_002,ENT00046,28
M00000077,CHK00002_002,ENT00225,3
M00000078,CHK00002_003,ENT00261,167
M00000079,CHK00002_003,ENT00296,61
M00000080,CHK00002_004,ENT00389,360
M00000081,CHK00002_004,ENT00545,117
M00000082,CHK00002_005,ENT00320,294
M00000083,CHK00002_006,ENT00021,425
M00000084,CHK00002_006,ENT00332,353
M00000085,CHK00002_006,ENT00175,470
M00000086,CHK00002_006,ENT00471,185
M00000087,CHK00002_007,ENT00410,445
M00000088,CHK00002_007,ENT00536,158
M00000089,CHK00002_007,ENT00080,381
M00000090,CHK00002_007,ENT00405,173
M00000091,CHK00002_008,ENT00543,261
M00000092,CHK00002_009,ENT00241,74
M00000093,CHK00002_009,ENT00105,131
M00000094,CHK00002_010,ENT00181,487
M00000095,CHK00002_011,ENT00323,34
M00000096,CHK00002_011,ENT00154,240
M00000097,CHK00002_011,ENT00450,226
M00000098,CHK00002_012,ENT00058,188
M00000099,CHK00002_013,ENT00460,465
M00000100,CHK00002_014,ENT00086,20
M00000101,CHK00002_014,ENT00516,126
M00000102,CHK00002_014,ENT00176,362
M00000103,CHK00002_015,ENT00396,347
M00000104,CHK00002_015,ENT00418,306
M00000105,CHK00002_015,ENT00346,26
M00000106,CHK00002_016,ENT00341,298
M00000107,CHK00002_016,ENT00083,339
M00000108,CHK00002_017,ENT00132,192
M00000109,CHK00002_017,ENT00086,329
