account_id,customer_id,account_type,open_date,status,balance
ACC0000000,CUS001097,savings,2022-10-22,active,43628.93
ACC0000001,CUS000422,money_market,2023-11-05,frozen,37012.12
ACC0000002,CUS000525,credit,2021-07-27,active,41329.49
ACC0000003,CUS001228,savings,2026-06-01,active,36456.83
ACC0000004,CUS000468,savings,2023-04-12,active,17181.92
ACC0000005,CUS001906,money_market,2022-04-06,active,19899.77
ACC0000006,CUS001158,savings,2026-03-01,frozen,8663.62
ACC0000007,CUS000438,credit,2023-10-19,active,27461.88
ACC0000008,CUS000898,savings,2021-07-19,active,32904.61
ACC0000009,CUS001987,credit,2024-01-05,active,4412.8
ACC0000010,CUS000385,savings,2024-01-30,active,39503.73
ACC0000011,CUS000569,money_market,2025-03-28,active,18311.7
ACC0000012,CUS001827,savings,2026-05-27,closed,7319.48
ACC0000013,CUS000900,savings,2025-08-24,active,39684.51
ACC0000014,CUS000745,money_market,2025-08-06,active,47410.19
ACC0000015,CUS001397,savings,2023-12-26,active,39548.65
ACC0000016,CUS001543,credit,2025-07-21,active,30276.05
ACC0000017,CUS000571,savings,2024-09-11,active,38290.07
ACC0000018,CUS001548,money_market,2022-12-27,active,19890.02
ACC0000019,CUS001434,credit,2024-07-07,active,44679.83
ACC0000020,CUS000178,credit,2024-07-11,active,37232.37
ACC0000021,CUS001133,credit,2021-10-14,active,25864.73
ACC0000022,CUS001159,credit,2026-05-18,active,24269.1
ACC0000023,CUS000508,savings,2024-02-13,closed,47130.76
ACC0000024,CUS000133,money_market,2023-08-29,active,14235.62
ACC0000025,CUS000386,credit,2024-11-26,active,39179.59
ACC0000026,CUS000026,checking,2023-11-12,active,28098.05
ACC0000027,CUS001648,checking,2023-03-27,active,17272.18
ACC0000028,CUS000229,savings,2024-05-22,active,23490.23
ACC0000029,CUS000708,savings,2023-12-04,active,38858.09
ACC0000030,CUS000983,credit,2025-05-25,active,14252.45
ACC0000031,CUS001964,credit,2023-10-16,frozen,41373.74
ACC0000032,CUS000050,money_market,2024-05-06,active,27148.22
ACC0000033,CUS000112,credit,2022-09-16,active,7553.51
ACC0000034,CUS001068,credit,2022-12-04,active,39525.21
ACC0000035,CUS000948,savings,2023-05-26,active,32692.42
ACC0000036,CUS000827,savings,2026-01-30,active,40892.72
ACC0000037,CUS001890,checking,2022-07-09,closed,13267.76
ACC0000038,CUS000407,checking,2021-12-18,active,27326.21
ACC0000039,CUS000646,money_market,2023-03-09,active,46951.8
ACC0000040,CUS001945,savings,2022-07-19,active,39120.12
ACC0000041,CUS000999,credit,2024-07-05,active,27467.35
ACC0000042,CUS000305,checking,2025-03-31,active,36142.46
ACC0000043,CUS001343,money_market,2024-10-28,active,8671.88
ACC0000044,CUS000345,credit,2024-06-10,active,23251.86
ACC0000045,CUS001543,checking,2025-01-10,active,17349.08
ACC0000046,CUS001334,money_market,2023-12-30,active,1068.45
ACC0000047,CUS001207,checking,2026-04-04,frozen,8976.05
ACC0000048,CUS000080,savings,2022-07-20,active,23778.33
ACC0000049,CUS000275,credit,2024-08-23,active,45841.35
ACC0000050,CUS001687,checking,2021-09-08,active,11952.41
ACC0000051,CUS000269,money_market,2025-02-13,closed,21348.94
ACC0000052,CUS000863,savings,2024-11-09,active,15218.18
ACC0000053,CUS001720,money_market,2025-09-12,active,41559.64
ACC0000054,CUS000756,credit,2024-09-13,active,3155.84
ACC0000055,CUS000530,money_market,2026-02-19,active,44512.02
ACC0000056,CUS000309,checking,2026-03-27,active,38806.78
ACC0000057,CUS000802,money_market,2023-11-10,active,22866.05
ACC0000058,CUS001613,checking,2024-09-13,active,9635.64
ACC0000059,CUS001348,savings,2023-04-28,active,5495.65
ACC0000060,CUS000030,money_market,2023-06-03,active,1102.02
ACC0000061,CUS000970,checking,2023-05-24,active,2209.57
ACC0000062,CUS000327,credit,2026-01-27,active,28831.44
ACC0000063,CUS000413,credit,2024-02-13,active,14337.43
ACC0000064,CUS000137,checking,2021-09-07,closed,25542.02
ACC0000065,CUS000097,credit,2025-09-23,active,23701.89
ACC0000066,CUS000619,money_market,2023-03-14,active,46952.35
ACC0000067,CUS000567,credit,2024-06-26,active,5108.12
ACC0000068,CUS000299,credit,2024-02-09,active,16819.03
ACC0000069,CUS001065,checking,2025-07-15,active,33203.97
ACC0000070,CUS000294,savings,2026-03-26,active,44353.59
ACC0000071,CUS001673,savings,2025-11-18,active,45678.82
ACC0000072,CUS001915,savings,2023-12-04,active,1070.72
ACC0000073,CUS001576,credit,2025-06-06,active,35880.82
ACC0000074,CUS000214,savings,2024-12-19,active,24099.21
ACC0000075,CUS001515,checking,2023-07-11,active,24717.24
ACC0000076,CUS001465,money_market,2025-09-22,active,6085.61
ACC0000077,CUS000665,credit,2026-03-18,active,49966.77
ACC0000078,CUS001020,savings,2023-05-14,active,45221.04
ACC0000079,CUS000550,checking,2025-04-15,active,8214.9
ACC0000080,CUS001160,money_market,2024-11-06,active,23575.48
ACC0000081,CUS001462,credit,2022-11-03,active,30839.82
ACC0000082,CUS001392,credit,2025-09-15,frozen,28134.02
ACC0000083,CUS000287,savings,2025-09-27,active,13187.8
ACC0000084,CUS001929,credit,2026-05-19,active,2766.72
ACC0000085,CUS001283,savings,2022-09-23,active,32787.54
ACC0000086,CUS000037,money_market,2023-11-22,active,14952.02
ACC0000087,CUS001842,money_market,2024-09-03,active,41701.93
ACC0000088,CUS000920,credit,2022-10-22,active,47361.09
ACC0000089,CUS001197,money_market,2025-01-24,active,17353.68
ACC0000090,CUS001865,money_market,2025-02-04,closed,36299.32
ACC0000091,CUS001278,checking,2025-05-17,active,24462.14
ACC0000092,CUS001731,credit,2022-12-23,closed,5098.43
ACC0000093,CUS000623,credit,2021-10-30,active,27057.24
ACC0000094,CUS001992,credit,2026-01-24,active,30293.08
ACC0000095,CUS001727,savings,2026-05-30,frozen,5169.96
ACC0000096,CUS000327,checking,2022-05-24,closed,4887.77
ACC0000097,CUS001819,checking,2022-12-05,active,28390.28
ACC0000098,CUS001027,credit,2023-04-28,active,42167.96
ACC0000099,CUS000703,credit,2022-07-26,active,33022.16
ACC0000100,CUS000767,money_market,2022-07-29,active,23565.41
ACC0000101,CUS000850,credit,2025-06-11,active,35239.27
ACC0000102,CUS000111,credit,2023-04-22,active,12223.19
ACC0000103,CUS000479,savings,2026-04-09,active,36740.57
ACC0000104,CUS000422,credit,2021-07-17,closed,36472.45
ACC0000105,CUS001311,credit,2023-12-01,active,25335.95
ACC0000106,CUS000645,credit,2022-07-07,active,41978.17
ACC0000107,CUS001789,checking,2022-03-11,active,9939.51
ACC0000108,CUS001174,money_market,2022-06-01,active,28932.95
ACC0000109,CUS000468,money_market,2025-05-15,dormant,35443.89
ACC0000110,CUS000147,credit,2025-03-17,active,1995.74
ACC0000111,CUS000241,credit,2021-06-19,active,31286.47
ACC0000112,CUS000424,savings,2025-01-16,active,5275.54
ACC0000113,CUS001933,savings,2022-02-16,active,5761.81
ACC0000114,CUS000917,money_market,2025-12-26,active,27325.63
ACC0000115,CUS001130,checking,2026-04-17,active,45250.06
ACC0000116,CUS001062,checking,2025-03-19,closed,9099.94
ACC0000117,CUS000018,savings,2022-10-01,active,31878.12
ACC0000118,CUS001287,checking,2023-08-19,closed,742.84
ACC0000119,CUS001601,checking,2022-05-20,closed,48382.92
ACC0000120,CUS001381,money_market,2022-05-02,active,23724.21
ACC0000121,CUS000053,credit,2021-07-26,closed,2115.21
ACC0000122,CUS000912,checking,2023-01-14,active,42156.37
ACC0000123,CUS000850,checking,2023-01-20,active,13410.55
ACC0000124,CUS001680,savings,2025-11-04,active,21498.36
ACC0000125,CUS001701,credit,2025-09-05,active,36319.21
ACC0000126,CUS000915,checking,2024-09-15,active,39119.03
ACC0000127,CUS001718,credit,2025-07-10,active,38051.47
ACC0000128,CUS001032,checking,2023-08-11,active,45053.51
ACC0000129,CUS001468,credit,2021-09-03,active,2077.44
ACC0000130,CUS001471,money_market,2024-01-06,active,35375.82
ACC0000131,CUS000307,money_market,2025-09-26,active,15386.63
ACC0000132,CUS001732,checking,2022-08-06,active,25048.49
ACC0000133,CUS000210,savings,2026-02-09,active,23836.57
ACC0000134,CUS000120,savings,2023-01-29,active,13956.84
ACC0000135,CUS000339,credit,2025-11-16,active,13688.02
ACC0000136,CUS000629,money_market,2024-07-31,active,48266.66
ACC0000137,CUS000778,checking,2024-02-09,dormant,31246.02
ACC0000138,CUS000162,credit,2022-06-20,active,13059.17
ACC0000139,CUS001653,savings,2024-08-14,active,39275.79
ACC0000140,CUS001408,credit,2026-05-04,active,7600.53
ACC0000141,CUS000994,credit,2022-02-09,active,27754.85
ACC0000142,CUS000561,credit,2022-03-30,active,30468.38
ACC0000143,CUS000526,checking,2023-06-29,active,23119.47
ACC0000144,CUS000135,money_market,2023-10-03,active,44064.06
ACC0000145,CUS001669,credit,2022-02-20,active,40487.35
ACC0000146,CUS001818,checking,2024-07-02,active,48729.87
ACC0000147,CUS001055,savings,2022-08-12,active,28415.52
ACC0000148,CUS001636,money_market,2025-10-27,active,7792.83
ACC0000149,CUS001455,money_market,2025-03-08,active,25532.74
ACC0000150,CUS001982,money_market,2023-10-20,active,42736.5
ACC0000151,CUS001983,savings,2022-01-09,active,5659.07
ACC0000152,CUS001222,credit,2021-07-19,active,8276.34
ACC0000153,CUS000455,credit,2026-02-15,active,44818.81
ACC0000154,CUS000469,credit,2022-11-11,active,20152.7
ACC0000155,CUS001022,credit,2023-02-23,closed,40579.83
ACC0000156,CUS000389,credit,2022-01-23,active,40434.4
ACC0000157,CUS001719,savings,2023-03-28,closed,41952.12
ACC0000158,CUS001843,checking,2025-01-28,active,3004.79
ACC0000159,CUS000231,savings,2023-05-29,active,42863.12
ACC0000160,CUS001095,money_market,2024-04-14,dormant,13365.26
ACC0000161,CUS000277,savings,2023-09-25,active,29335.66
ACC0000162,CUS000420,credit,2024-03-25,active,11327.33
ACC0000163,CUS001037,savings,2022-06-21,active,13361.97
ACC0000164,CUS001963,checking,2024-12-29,closed,26113.92
ACC0000165,CUS000291,savings,2021-07-17,closed,47318.34
ACC0000166,CUS000979,money_market,2024-08-04,active,14123.75
ACC0000167,CUS000909,checking,2023-02-01,closed,520.86
ACC0000168,CUS001757,checking,2023-10-13,active,41418.02
ACC0000169,CUS000940,savings,2022-09-26,dormant,28346.7
ACC0000170,CUS001476,checking,2025-08-17,active,18387.15
ACC0000171,CUS000406,money_market,2025-02-28,active,32767.0
ACC0000172,CUS000595,money_market,2025-12-24,active,16188.37
ACC0000173,CUS001235,savings,2024-05-18,active,9291.92
ACC0000174,CUS000565,savings,2024-11-09,frozen,44102.45
ACC0000175,CUS001624,savings,2023-10-01,active,20735.47
ACC0000176,CUS000474,money_market,2023-07-09,active,651.24
ACC0000177,CUS001343,credit,2024-01-01,active,5336.49
ACC0000178,CUS000996,credit,2025-02-26,active,8423.69
ACC0000179,CUS000970,credit,2024-05-15,active,2598.76
ACC0000180,CUS001627,money_market,2021-08-28,active,16150.77
ACC0000181,CUS000077,money_market,2022-05-09,active,40977.17
ACC0000182,CUS000946,savings,2023-05-17,active,24807.8
ACC0000183,CUS000374,savings,2023-10-26,active,8432.41
ACC0000184,CUS000877,credit,2023-02-15,active,27205.52
ACC0000185,CUS001730,credit,2022-07-13,closed,20453.95
ACC0000186,CUS000536,credit,2021-08-11,active,46606.04
ACC0000187,CUS000646,credit,2023-01-21,active,6805.5
ACC0000188,CUS001152,savings,2025-10-13,active,16161.69
ACC0000189,CUS000708,checking,2021-12-27,active,26393.81
ACC0000190,CUS001454,money_market,2022-05-05,active,19885.3
ACC0000191,CUS000413,credit,2023-01-04,active,32384.14
ACC0000192,CUS000246,savings,2022-07-04,active,3905.64
ACC0000193,CUS001649,credit,2023-01-30,active,5172.02
ACC0000194,CUS001917,money_market,2023-08-13,active,9419.25
ACC0000195,CUS001977,money_market,2023-03-28,active,39877.37
ACC0000196,CUS000112,savings,2025-02-16,active,32575.02
ACC0000197,CUS001945,money_market,2022-09-10,active,36553.75
ACC0000198,CUS000845,checking,2025-06-01,frozen,23213.04
ACC0000199,CUS001006,checking,2022-09-24,active,17822.08
