device_event_id,device_id,customer_id,ip_address,device_type,login_time
DEVE00000000,DEV00000012,CUS001297,16.108.129.92,tablet,2026-05-30T13:30:15
DEVE00000001,DEV00000013,CUS001435,188.24.16.16,tablet,2026-01-01T08:41:07
DEVE00000002,DEV00000014,CUS001482,146.81.11.225,android,2025-12-19T15:28:48
DEVE00000003,DEV00000015,CUS001766,13.90.154.159,android,2025-08-07T04:37:19
DEVE00000004,DEV00000016,CUS001930,36.66.100.175,tablet,2026-01-02T06:20:41
DEVE00000005,DEV00000017,CUS000664,82.53.74.66,browser,2025-11-30T00:45:31
DEVE00000006,DEV00000018,CUS000341,92.206.70.184,iphone,2025-06-17T04:19:53
DEVE00000007,DEV00000019,CUS001021,14.249.140.185,iphone,2025-09-25T17:07:59
DEVE00000008,DEV00000020,CUS000277,28.218.195.47,tablet,2025-07-23T11:46:55
DEVE00000009,DEV00000021,CUS001960,85.32.107.27,android,2025-09-15T16:31:38
DEVE00000010,DEV00000022,CUS000470,19.77.62.18,tablet,2025-09-20T15:58:28
DEVE00000011,DEV00000023,CUS000783,136.73.114.76,iphone,2026-03-27T07:15:19
DEVE00000012,DEV00000024,CUS001860,220.252.37.128,iphone,2026-03-09T00:09:10
DEVE00000013,DEV00000025,CUS000628,129.131.141.65,android,2025-11-02T15:25:22
DEVE00000014,DEV00000026,CUS000094,97.88.126.128,browser,2026-01-12T07:21:28
DEVE00000015,DEV00000027,CUS001840,194.84.145.53,browser,2025-07-27T07:27:56
DEVE00000016,DEV00000028,CUS001641,54.187.178.219,tablet,2025-11-12T08:51:15
DEVE00000017,DEV00000029,CUS001543,79.160.185.40,android,2025-08-26T06:46:28
DEVE00000018,DEV00000030,CUS001182,153.102.98.146,iphone,2025-08-01T18:13:14
DEVE00000019,DEV00000031,CUS000370,130.155.195.16,tablet,2025-10-12T06:03:48
DEVE00000020,DEV00000032,CUS000600,177.217.26.221,iphone,2025-11-22T01:27:36
DEVE00000021,DEV00000033,CUS000304,189.121.231.186,tablet,2025-11-07T15:47:48
DEVE00000022,DEV00000034,CUS001372,28.143.121.194,android,2026-02-25T23:56:53
DEVE00000023,DEV00000035,CUS000899,182.88.177.48,tablet,2025-09-08T11:06:39
DEVE00000024,DEV00000036,CUS001476,71.22.152.37,browser,2025-11-17T04:06:55
DEVE00000025,DEV00000037,CUS001706,120.117.52.29,android,2026-01-10T19:36:53
DEVE00000026,DEV00000038,CUS000619,164.230.162.146,android,2025-07-21T17:50:17
DEVE00000027,DEV00000039,CUS000687,58.206.57.81,iphone,2025-08-27T18:34:02
