transaction_id,account_id,merchant_id,amount,timestamp,channel,category,status,is_fraud
TXN000000000,ACC0000267,MER00313,6691.81,2025-06-19T20:57:00,contactless,restaurant,approved,1
TXN000000001,ACC0001377,MER00072,2738.97,2025-04-08T07:35:00,mobile_wallet,subscription,approved,0
TXN000000002,ACC0000389,MER00048,2993.08,2025-09-15T12:02:00,online,subscription,approved,0
TXN000000003,ACC0000318,MER00005,3537.9,2025-06-21T09:03:00,online,restaurant,approved,0
TXN000000004,ACC0000068,MER00392,1163.4,2025-01-20T20:05:00,contactless,grocery,approved,0
TXN000000005,ACC0002633,MER00362,2939.9,2025-09-08T00:46:00,online,education,approved,0
TXN000000006,ACC0000496,MER00440,718.49,2025-04-06T15:59:00,swipe,subscription,approved,0
TXN000000007,ACC0001898,MER00495,4870.13,2025-04-12T18:22:00,contactless,online_retail,approved,0
TXN000000008,ACC0001617,MER00146,561.9,2025-07-07T11:12:00,swipe,education,approved,0
TXN000000009,ACC0002201,MER00153,4751.84,2025-06-18T04:09:00,chip,gas_station,approved,0
TXN000000010,ACC0000744,MER00149,2939.22,2025-03-02T09:06:00,contactless,utilities,approved,0
TXN000000011,ACC0001898,MER00270,4811.59,2025-09-28T02:55:00,swipe,online_retail,approved,0
TXN000000012,ACC0000870,MER00258,1216.05,2025-03-02T06:39:00,online,travel,approved,0
TXN000000013,ACC0001122,MER00188,470.05,2025-03-31T21:08:00,mobile_wallet,healthcare,approved,0
TXN000000014,ACC0000987,MER00090,3487.86,2025-01-22T03:03:00,contactless,utilities,approved,0
TXN000000015,ACC0001962,MER00494,2423.05,2025-01-24T15:04:00,contactless,online_retail,approved,0
TXN000000016,ACC0001257,MER00433,2507.23,2025-01-21T05:57:00,online,gas_station,approved,0
TXN000000017,ACC0002755,MER00058,2225.03,2025-06-28T00:41:00,contactless,healthcare,approved,0
TXN000000018,ACC0002142,MER00065,4815.37,2025-01-12T23:53:00,online,grocery,approved,0
TXN000000019,ACC0000315,MER00444,958.54,2025-07-09T01:57:00,online,education,approved,0
TXN000000020,ACC0001724,MER00001,1293.08,2025-01-31T12:08:00,contactless,utilities,approved,0
TXN000000021,ACC0000618,MER00408,2629.71,2025-06-30T18:54:00,online,utilities,approved,0
TXN000000022,ACC0000461,MER00266,4658.25,2025-08-06T01:00:00,swipe,restaurant,pending,0
TXN000000023,ACC0000230,MER00363,2798.99,2025-07-27T15:51:00,online,education,approved,0
TXN000000024,ACC0001954,MER00240,420.25,2025-04-04T18:17:00,contactless,utilities,approved,0
TXN000000025,ACC0001804,MER00046,2441.83,2025-09-08T14:48:00,online,online_retail,approved,0
TXN000000026,ACC0002618,MER00154,1584.25,2025-08-26T04:27:00,swipe,online_retail,pending,0
TXN000000027,ACC0002081,MER00263,3508.44,2025-01-24T01:48:00,mobile_wallet,utilities,approved,0
TXN000000028,ACC0002194,MER00407,3519.43,2025-07-14T09:19:00,mobile_wallet,education,approved,0
TXN000000029,ACC0000287,MER00232,2587.48,2025-08-01T16:45:00,chip,education,approved,0
TXN000000030,ACC0002402,MER00168,183.97,2025-03-27T08:17:00,swipe,gas_station,approved,0
TXN000000031,ACC0002023,MER00225,1162.18,2025-07-03T13:00:00,chip,healthcare,approved,0
TXN000000032,ACC0001309,MER00343,2339.87,2025-06-29T09:54:00,contactless,gas_station,approved,0
TXN000000033,ACC0000205,MER00298,3045.08,2025-07-18T04:34:00,mobile_wallet,gas_station,approved,0
TXN000000034,ACC0001872,MER00064,3905.16,2025-09-09T06:50:00,contactless,restaurant,approved,0
TXN000000035,ACC0000027,MER00325,3002.13,2025-04-13T06:17:00,online,online_retail,approved,0
TXN000000036,ACC0001753,MER00202,3485.04,2025-10-05T12:51:00,mobile_wallet,utilities,approved,0
TXN000000037,ACC0002141,MER00108,4024.57,2025-05-01T18:31:00,contactless,entertainment,approved,0
TXN000000038,ACC0002094,MER00047,898.77,2025-09-25T14:24:00,online,utilities,approved,0
TXN000000039,ACC0000139,MER00076,4121.7,2025-08-06T09:21:00,swipe,gas_station,approved,0
TXN000000040,ACC0001551,MER00187,4201.2,2025-04-14T07:48:00,contactless,restaurant,approved,0
TXN000000041,ACC0001293,MER00269,4664.64,2025-04-23T04:55:00,mobile_wallet,online_retail,approved,0
TXN000000042,ACC0000537,MER00243,3066.59,2025-08-26T06:26:00,contactless,subscription,approved,0
TXN000000043,ACC0001883,MER00256,1662.71,2025-02-25T06:51:00,contactless,utilities,approved,0
TXN000000044,ACC0000734,MER00299,2821.11,2025-06-07T01:45:00,mobile_wallet,gas_station,approved,1
TXN000000045,ACC0002950,MER00318,4759.08,2025-07-26T07:38:00,chip,restaurant,approved,0
TXN000000046,ACC0002519,MER00362,1737.46,2025-07-11T18:18:00,swipe,education,approved,0
TXN000000047,ACC0000748,MER00293,858.02,2025-09-16T15:32:00,swipe,entertainment,approved,0
TXN000000048,ACC0001114,MER00339,288.7,2025-07-19T23:43:00,mobile_wallet,utilities,declined,0
TXN000000049,ACC0000896,MER00458,4863.62,2025-09-04T20:44:00,swipe,subscription,approved,0
TXN000000050,ACC0001515,MER00310,4684.85,2025-08-12T06:45:00,mobile_wallet,online_retail,approved,0
TXN000000051,ACC0000911,MER00122,611.72,2025-03-25T11:39:00,mobile_wallet,education,approved,0
TXN000000052,ACC0000126,MER00098,2342.18,2025-05-19T05:15:00,contactless,online_retail,approved,0
TXN000000053,ACC0001780,MER00101,1250.9,2025-08-03T03:37:00,chip,online_retail,declined,0
TXN000000054,ACC0002662,MER00393,360.46,2025-09-16T20:02:00,online,grocery,approved,0
TXN000000055,ACC0001129,MER00126,181.2,2025-01-05T12:25:00,swipe,restaurant,approved,0
TXN000000056,ACC0002867,MER00441,3095.63,2025-03-19T21:54:00,swipe,utilities,approved,0
TXN000000057,ACC0001694,MER00142,4619.64,2025-06-07T15:20:00,swipe,gas_station,approved,0
TXN000000058,ACC0001856,MER00093,4016.18,2025-10-08T15:23:00,contactless,subscription,approved,0
TXN000000059,ACC0001450,MER00397,2760.59,2025-06-17T04:15:00,chip,grocery,approved,0
TXN000000060,ACC0002457,MER00446,1021.72,2025-03-02T05:02:00,contactless,online_retail,approved,0
TXN000000061,ACC0000023,MER00226,231.77,2025-08-10T08:29:00,chip,education,approved,0
TXN000000062,ACC0001492,MER00001,1186.54,2025-05-23T21:36:00,swipe,utilities,approved,0
TXN000000063,ACC0001832,MER00283,3344.14,2025-01-05T03:58:00,swipe,education,approved,0
TXN000000064,ACC0001423,MER00450,4677.7,2025-04-08T06:01:00,contactless,utilities,approved,0
TXN000000065,ACC0002374,MER00408,2250.19,2025-04-15T06:35:00,swipe,utilities,approved,0
TXN000000066,ACC0002088,MER00047,1366.4,2025-02-24T20:51:00,contactless,utilities,approved,0
TXN000000067,ACC0000091,MER00316,2623.34,2025-03-06T09:12:00,mobile_wallet,utilities,approved,0
TXN000000068,ACC0001075,MER00025,540.07,2025-03-15T23:02:00,contactless,grocery,approved,0
TXN000000069,ACC0000122,MER00287,2115.04,2025-06-02T22:33:00,contactless,grocery,approved,0
TXN000000070,ACC0001271,MER00044,1079.45,2025-08-02T17:46:00,online,healthcare,approved,0
TXN000000071,ACC0002848,MER00300,1884.24,2025-07-31T14:11:00,online,utilities,approved,0
TXN000000072,ACC0001153,MER00154,3042.49,2025-10-08T12:08:00,swipe,online_retail,approved,0
TXN000000073,ACC0002200,MER00429,4658.75,2025-03-24T14:57:00,mobile_wallet,travel,approved,0
TXN000000074,ACC0001386,MER00421,4224.36,2025-08-10T19:27:00,chip,travel,approved,0
TXN000000075,ACC0002688,MER00287,4910.17,2025-10-17T02:14:00,online,grocery,approved,1
TXN000000076,ACC0000394,MER00316,3642.5,2025-07-18T15:23:00,online,utilities,approved,0
TXN000000077,ACC0002712,MER00269,4767.23,2025-04-06T03:19:00,mobile_wallet,online_retail,approved,0
TXN000000078,ACC0001015,MER00374,3381.3,2025-06-11T05:39:00,chip,online_retail,approved,0
TXN000000079,ACC0001079,MER00362,159.26,2025-01-18T02:37:00,mobile_wallet,education,approved,0
TXN000000080,ACC0000210,MER00337,410.69,2025-06-09T23:57:00,mobile_wallet,gas_station,approved,0
TXN000000081,ACC0001614,MER00385,3928.89,2025-04-06T06:47:00,chip,utilities,approved,0
TXN000000082,ACC0000773,MER00419,3467.57,2025-08-01T18:27:00,contactless,travel,approved,0
TXN000000083,ACC0001988,MER00452,2012.67,2025-02-23T14:04:00,contactless,utilities,approved,0
TXN000000084,ACC0000807,MER00378,1458.91,2025-09-12T12:11:00,online,utilities,approved,0
TXN000000085,ACC0000871,MER00096,1806.1,2025-01-23T08:31:00,swipe,entertainment,approved,0
TXN000000086,ACC0002060,MER00433,4600.76,2025-07-09T04:16:00,online,gas_station,approved,0
TXN000000087,ACC0001188,MER00340,2776.17,2025-05-19T07:12:00,online,entertainment,approved,0
TXN000000088,ACC0002595,MER00150,783.87,2025-04-07T17:09:00,online,travel,approved,0
TXN000000089,ACC0002506,MER00481,3091.79,2025-10-13T18:45:00,mobile_wallet,online_retail,approved,0
TXN000000090,ACC0002055,MER00201,3806.38,2025-02-15T11:11:00,mobile_wallet,education,approved,0
TXN000000091,ACC0002477,MER00429,4373.38,2025-06-01T05:30:00,swipe,travel,approved,0
TXN000000092,ACC0002724,MER00061,2180.64,2025-05-20T05:45:00,online,grocery,approved,0
TXN000000093,ACC0002717,MER00281,4768.52,2025-08-13T10:21:00,online,entertainment,approved,0
TXN000000094,ACC0000287,MER00387,389.38,2025-09-20T21:08:00,online,entertainment,approved,0
TXN000000095,ACC0001280,MER00095,938.16,2025-10-04T12:27:00,swipe,entertainment,approved,0
TXN000000096,ACC0001756,MER00152,399.22,2025-02-14T17:54:00,online,subscription,approved,0
TXN000000097,ACC0000983,MER00355,4189.17,2025-03-28T18:56:00,contactless,utilities,pending,0
TXN000000098,ACC0002901,MER00094,429.22,2025-07-10T13:54:00,mobile_wallet,entertainment,approved,0
TXN000000099,ACC0002675,MER00074,3488.46,2025-10-25T14:57:00,online,grocery,approved,0
TXN000000100,ACC0001720,MER00488,2923.03,2025-03-06T08:35:00,chip,entertainment,approved,0
TXN000000101,ACC0001225,MER00310,1553.71,2025-04-07T05:24:00,swipe,online_retail,approved,0
TXN000000102,ACC0002147,MER00437,1466.01,2025-02-25T22:17:00,swipe,entertainment,approved,0
TXN000000103,ACC0001429,MER00288,4368.22,2025-05-26T22:42:00,mobile_wallet,restaurant,approved,0
TXN000000104,ACC0000522,MER00486,2588.72,2025-05-08T10:42:00,contactless,gas_station,approved,0
TXN000000105,ACC0002652,MER00376,56.04,2025-01-15T13:32:00,chip,gas_station,pending,0
TXN000000106,ACC0002727,MER00029,4628.86,2025-01-17T14:24:00,swipe,restaurant,approved,0
TXN000000107,ACC0000927,MER00041,2769.22,2025-09-12T17:39:00,mobile_wallet,online_retail,approved,0
TXN000000108,ACC0000344,MER00072,3238.3,2025-03-11T08:59:00,mobile_wallet,subscription,approved,0
TXN000000109,ACC0000585,MER00432,3871.97,2025-10-15T09:35:00,mobile_wallet,education,approved,0
TXN000000110,ACC0000129,MER00246,680.15,2025-01-01T16:39:00,mobile_wallet,grocery,approved,0
TXN000000111,ACC0002437,MER00318,3244.91,2025-02-04T14:30:00,online,restaurant,approved,0
TXN000000112,ACC0002651,MER00270,4893.26,2025-02-03T12:09:00,swipe,online_retail,declined,0
TXN000000113,ACC0002869,MER00346,3701.92,2025-07-14T17:37:00,mobile_wallet,gas_station,approved,0
TXN000000114,ACC0002990,MER00196,3012.52,2025-01-07T21:06:00,online,restaurant,approved,0
TXN000000115,ACC0002503,MER00255,4236.79,2025-08-11T17:30:00,swipe,online_retail,approved,0
TXN000000116,ACC0002841,MER00443,2964.04,2025-07-16T00:12:00,online,travel,approved,0
TXN000000117,ACC0000627,MER00362,2475.83,2025-05-19T11:39:00,swipe,education,approved,0
TXN000000118,ACC0002464,MER00001,4843.79,2025-07-09T10:11:00,mobile_wallet,utilities,approved,0
TXN000000119,ACC0000620,MER00331,2522.51,2025-05-17T10:13:00,swipe,subscription,approved,0
TXN000000120,ACC0002723,MER00139,1193.41,2025-05-31T08:05:00,online,subscription,approved,0
TXN000000121,ACC0000384,MER00151,276.53,2025-01-23T00:48:00,contactless,utilities,approved,0
TXN000000122,ACC0000523,MER00277,515.38,2025-08-28T16:18:00,chip,subscription,pending,0
TXN000000123,ACC0000273,MER00124,58.03,2025-09-19T09:45:00,contactless,subscription,approved,0
TXN000000124,ACC0000478,MER00387,4240.72,2025-08-08T11:27:00,chip,entertainment,approved,0
TXN000000125,ACC0002419,MER00348,1301.02,2025-06-09T20:03:00,mobile_wallet,online_retail,approved,0
TXN000000126,ACC0000434,MER00461,1496.04,2025-03-22T20:20:00,mobile_wallet,grocery,approved,0
TXN000000127,ACC0000645,MER00188,2727.6,2025-08-04T19:05:00,online,healthcare,approved,0
TXN000000128,ACC0001128,MER00270,1153.12,2025-01-31T10:23:00,online,online_retail,approved,0
TXN000000129,ACC0001127,MER00081,5444.92,2025-07-07T04:40:00,chip,education,approved,1
TXN000000130,ACC0000313,MER00422,2461.23,2025-10-24T22:13:00,mobile_wallet,restaurant,approved,0
TXN000000131,ACC0001401,MER00177,2674.08,2025-06-26T22:14:00,online,utilities,approved,0
TXN000000132,ACC0000952,MER00379,1292.81,2025-02-10T00:35:00,contactless,restaurant,approved,0
TXN000000133,ACC0000031,MER00285,4126.51,2025-01-18T03:30:00,swipe,gas_station,approved,0
TXN000000134,ACC0000166,MER00196,198.99,2025-03-31T01:08:00,contactless,restaurant,approved,0
TXN000000135,ACC0002494,MER00248,1570.59,2025-10-18T19:23:00,online,entertainment,approved,0
TXN000000136,ACC0000222,MER00162,2979.45,2025-03-21T19:21:00,contactless,utilities,approved,0
TXN000000137,ACC0001372,MER00287,4319.31,2025-08-30T07:15:00,contactless,grocery,approved,0
TXN000000138,ACC0001449,MER00422,4673.27,2025-09-25T16:12:00,contactless,restaurant,approved,0
TXN000000139,ACC0000468,MER00464,4111.37,2025-06-24T17:16:00,contactless,grocery,approved,0
TXN000000140,ACC0000431,MER00041,7848.98,2025-05-26T01:13:00,online,online_retail,approved,1
