flag_key,enabled_for_pct,owner,created_at
flag_late_0,5,growth,2026-01-30
flag_thus_1,100,growth,2025-10-08
flag_event_2,5,ml,2025-12-29
flag_paper_3,0,infra,2026-02-05
flag_health_4,25,infra,2026-06-03
flag_carry_5,25,ml,2026-02-01
flag_order_6,25,infra,2025-12-17
flag_nature_7,25,growth,2026-03-18
flag_project_8,25,infra,2025-12-18
flag_mind_9,0,growth,2026-04-17
flag_couple_10,50,infra,2026-05-17
flag_poor_11,100,ml,2025-09-06
flag_section_12,50,infra,2025-09-28
flag_daughter_13,5,growth,2025-06-08
flag_by_14,25,growth,2025-06-17
flag_make_15,25,infra,2026-02-05
flag_style_16,100,ml,2025-07-23
flag_sing_17,25,infra,2026-05-03
flag_despite_18,5,growth,2026-04-14
flag_power_19,100,growth,2025-11-16
flag_job_20,100,growth,2025-06-25
flag_goal_21,50,growth,2025-10-21
flag_opportunity_22,0,growth,2026-04-17
flag_public_23,100,ml,2025-08-29
flag_activity_24,25,ml,2026-02-11
flag_defense_25,100,ml,2026-03-02
flag_father_26,100,growth,2025-09-14
flag_street_27,0,infra,2025-07-04
flag_foot_28,100,ml,2025-10-02
flag_move_29,5,growth,2026-01-07
flag_game_30,50,ml,2026-04-01
flag_according_31,100,growth,2025-07-22
flag_rich_32,0,ml,2025-10-15
flag_growth_33,5,infra,2025-11-08
flag_shake_34,100,growth,2026-01-14
flag_power_35,0,growth,2025-06-19
flag_there_36,100,infra,2025-08-15
flag_daughter_37,0,growth,2025-10-14
flag_these_38,100,infra,2025-10-17
flag_win_39,50,ml,2026-02-24
