interaction_id,user_id,item_id,action,timestamp,rating,session_id
IX00000000,U000838,I00078,view,2025-09-17T06:41:00,,S0000000
IX00000001,U000804,I00120,view,2024-07-14T11:32:00,,S0000000
IX00000002,U000848,I00022,view,2025-10-10T22:56:00,,S0000000
IX00000003,U000922,I00256,view,2025-08-26T17:12:00,,S0000000
IX00000004,U001021,I00010,purchase,2024-02-19T18:53:00,,S0000000
IX00000005,U001198,I00264,click,2025-06-04T06:02:00,,S0000001
IX00000006,U000355,I00410,view,2024-05-11T03:32:00,,S0000001
IX00000007,U000659,I00284,rate,2025-01-28T14:17:00,5,S0000001
IX00000008,U000508,I00148,view,2024-12-17T10:02:00,,S0000001
IX00000009,U000273,I00107,add_to_cart,2025-09-08T23:53:00,,S0000001
IX00000010,U001049,I00175,add_to_cart,2025-12-19T18:41:00,,S0000002
IX00000011,U001133,I00341,click,2024-07-24T07:09:00,,S0000002
IX00000012,U000595,I00390,rate,2025-11-19T04:31:00,5,S0000002
IX00000013,U000364,I00284,view,2025-12-11T21:44:00,,S0000002
IX00000014,U000236,I00448,view,2025-07-29T16:23:00,,S0000002
IX00000015,U000854,I00370,add_to_cart,2025-06-30T09:45:00,,S0000003
IX00000016,U000865,I00487,view,2025-06-19T03:38:00,,S0000003
IX00000017,U000297,I00022,view,2024-02-27T06:49:00,,S0000003
IX00000018,U000329,I00581,view,2025-11-30T08:33:00,,S0000003
IX00000019,U000127,I00399,click,2024-10-29T06:57:00,,S0000003
IX00000020,U000066,I00215,click,2025-04-08T03:29:00,,S0000004
IX00000021,U001150,I00509,view,2025-10-24T19:09:00,,S0000004
IX00000022,U001046,I00452,click,2025-12-13T09:49:00,,S0000004
IX00000023,U000096,I00541,purchase,2025-01-31T14:13:00,,S0000004
IX00000024,U000640,I00572,click,2024-02-25T00:26:00,,S0000004
IX00000025,U000415,I00330,purchase,2025-03-29T07:41:00,,S0000005
IX00000026,U000753,I00438,view,2025-07-13T20:35:00,,S0000005
IX00000027,U000396,I00167,view,2024-06-30T23:18:00,,S0000005
IX00000028,U000355,I00418,view,2024-05-02T12:52:00,,S0000005
IX00000029,U000571,I00301,view,2024-05-13T05:29:00,,S0000005
IX00000030,U000522,I00010,view,2025-04-22T05:17:00,,S0000006
IX00000031,U000660,I00322,add_to_cart,2025-10-02T21:00:00,,S0000006
IX00000032,U000616,I00264,view,2025-08-09T18:46:00,,S0000006
IX00000033,U000650,I00297,view,2024-07-07T17:46:00,,S0000006
IX00000034,U001034,I00110,view,2025-07-10T18:19:00,,S0000006
IX00000035,U000715,I00120,view,2024-08-06T22:38:00,,S0000007
IX00000036,U000738,I00167,view,2025-09-25T18:06:00,,S0000007
IX00000037,U001149,I00487,view,2025-10-26T00:18:00,,S0000007
IX00000038,U000708,I00250,purchase,2025-10-19T20:56:00,,S0000007
IX00000039,U000499,I00572,view,2025-11-29T10:57:00,,S0000007
IX00000040,U000232,I00219,view,2025-07-07T09:39:00,,S0000008
IX00000041,U001058,I00487,add_to_cart,2025-01-18T17:33:00,,S0000008
IX00000042,U000912,I00264,view,2024-10-30T22:14:00,,S0000008
