order_id,shipment_id,placed_at,customer_ref,quantity,priority
ORD0000000,SH0003752,2025-07-31T00:00:00,CUST07731,17,freight
ORD0000001,SH0003450,2024-01-09T00:00:00,CUST07482,98,standard
ORD0000002,SH0002275,2024-06-19T00:00:00,CUST07926,61,expedited
ORD0000003,SH0001867,2024-04-28T00:00:00,CUST01980,98,freight
ORD0000004,SH0001198,2024-05-23T00:00:00,CUST05227,17,freight
ORD0000005,SH0003000,2025-05-07T00:00:00,CUST08256,50,standard
ORD0000006,SH0000004,2025-09-09T00:00:00,CUST01007,2,expedited
ORD0000007,SH0003716,2024-03-25T00:00:00,CUST02399,10,standard
ORD0000008,SH0003388,2024-05-24T00:00:00,CUST04565,19,standard
ORD0000009,SH0001209,2025-11-22T00:00:00,CUST04755,63,standard
ORD0000010,SH0003639,2025-11-25T00:00:00,CUST00849,45,freight
ORD0000011,SH0002697,2025-05-10T00:00:00,CUST07324,61,standard
ORD0000012,SH0003102,2025-09-25T00:00:00,CUST06999,16,freight
ORD0000013,SH0002374,2025-08-19T00:00:00,CUST07778,14,expedited
ORD0000014,SH0001494,2025-09-16T00:00:00,CUST07118,45,expedited
ORD0000015,SH0001649,2025-04-11T00:00:00,CUST06663,38,standard
ORD0000016,SH0002487,2025-09-16T00:00:00,CUST06187,68,standard
ORD0000017,SH0000797,2024-10-21T00:00:00,CUST04358,3,standard
ORD0000018,SH0002519,2025-01-10T00:00:00,CUST02495,21,expedited
ORD0000019,SH0003870,2024-05-21T00:00:00,CUST06223,88,freight
ORD0000020,SH0001493,2024-07-19T00:00:00,CUST07518,80,standard
ORD0000021,SH0003920,2025-12-12T00:00:00,CUST02986,17,standard
ORD0000022,SH0002373,2024-03-18T00:00:00,CUST04233,32,freight
ORD0000023,SH0002881,2024-01-14T00:00:00,CUST07514,3,expedited
ORD0000024,SH0002839,2024-10-18T00:00:00,CUST07835,86,standard
ORD0000025,SH0001725,2024-02-21T00:00:00,CUST01868,43,expedited
ORD0000026,SH0003230,2025-10-17T00:00:00,CUST09613,15,standard
ORD0000027,SH0003718,2024-12-02T00:00:00,CUST00608,96,freight
ORD0000028,SH0000393,2024-02-14T00:00:00,CUST01134,51,freight
ORD0000029,SH0003394,2024-06-04T00:00:00,CUST06865,2,standard
ORD0000030,SH0002064,2024-02-03T00:00:00,CUST02204,52,expedited
ORD0000031,SH0002295,2025-08-08T00:00:00,CUST03423,86,expedited
ORD0000032,SH0003459,2025-04-24T00:00:00,CUST05509,77,expedited
ORD0000033,SH0003536,2025-07-23T00:00:00,CUST03330,29,expedited
ORD0000034,SH0001183,2025-06-03T00:00:00,CUST08198,92,standard
ORD0000035,SH0001467,2025-05-18T00:00:00,CUST01462,77,standard
ORD0000036,SH0000441,2024-10-17T00:00:00,CUST09346,52,expedited
ORD0000037,SH0002335,2024-04-03T00:00:00,CUST04131,50,standard
ORD0000038,SH0003974,2025-06-01T00:00:00,CUST06769,82,expedited
ORD0000039,SH0003494,2024-10-17T00:00:00,CUST03933,20,standard
