shipment_id,product_id,warehouse_id,shipped_at,delivered_at,status,quantity,carrier
SH0000000,PR00066,WH011,2025-06-11T00:00:00,2025-06-21T00:00:00,delivered,1981,Maersk
SH0000001,PR00062,WH008,2025-04-05T00:00:00,2025-05-02T00:00:00,delivered,415,DHL
SH0000002,PR00196,WH019,2025-03-04T00:00:00,2025-03-09T00:00:00,delayed,1309,DHL
SH0000003,PR00295,WH010,2024-07-13T00:00:00,2024-07-17T00:00:00,delivered,4217,Maersk
SH0000004,PR00255,WH009,2025-05-24T00:00:00,2025-05-26T00:00:00,delivered,3222,USPS
SH0000005,PR00234,WH007,2024-08-08T00:00:00,2024-08-19T00:00:00,delivered,415,DHL
SH0000006,PR00253,WH019,2025-10-31T00:00:00,2025-11-12T00:00:00,delivered,4397,FedEx
SH0000007,PR00055,WH013,2024-05-17T00:00:00,2024-05-23T00:00:00,delivered,3304,DHL
SH0000008,PR00023,WH012,2024-02-22T00:00:00,2024-03-04T00:00:00,delivered,2970,USPS
SH0000009,PR00147,WH002,2025-01-30T00:00:00,2025-02-09T00:00:00,delivered,4505,DHL
SH0000010,PR00319,WH019,2024-05-01T00:00:00,2024-05-05T00:00:00,delayed,3227,DHL
SH0000011,PR00173,WH017,2025-01-09T00:00:00,2025-01-13T00:00:00,delivered,4171,Maersk
SH0000012,PR00256,WH001,2024-02-16T00:00:00,2024-03-08T00:00:00,delivered,2729,Maersk
SH0000013,PR00265,WH014,2024-06-01T00:00:00,2024-06-12T00:00:00,in_transit,1146,DHL
SH0000014,PR00313,WH010,2024-06-15T00:00:00,2024-06-23T00:00:00,lost,2452,USPS
SH0000015,PR00172,WH016,2025-06-05T00:00:00,2025-06-15T00:00:00,delivered,4612,DHL
SH0000016,PR00243,WH000,2025-01-12T00:00:00,2025-01-19T00:00:00,delivered,3413,USPS
SH0000017,PR00157,WH000,2025-09-03T00:00:00,2025-09-12T00:00:00,delivered,4739,USPS
SH0000018,PR00116,WH001,2025-08-20T00:00:00,2025-08-29T00:00:00,delivered,3115,UPS
